user,live_date,message_selector,classes,raw
flooky_olo,2023-11-23 16:47:49,Tu pense quel champion de lol représente la KC,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Tu pense quel champion de lol représente la KC</span></span>]"
rainnskywalker,2023-11-23 16:47:49,ah sisi,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">ah sisi</span></span>]"
shierouzea,2023-11-23 16:47:50,@Kamet0 Caedrel a dit en stream G2 vs KCORP,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""mention-fragment"" data-a-target=""chat-message-mention"">@Kamet0</span><span class=""text-fragment"" data-a-target=""chat-message-text""> Caedrel a dit en stream G2 vs KCORP</span></span>]"
57ghosty,2023-11-23 16:47:51,react nv son la feve ???,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">react nv son la feve ???</span></span>]"
Panactis,2023-11-23 16:47:51,Salut Kram tu me donnerais des conseils pour sortir du bronze aprés 10 ans de bronze ??? @Kamet0,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Salut Kram tu me donnerais des conseils pour sortir du bronze aprés 10 ans de bronze ??? </span><span class=""mention-fragment"" data-a-target=""chat-message-mention"">@Kamet0</span></span>]"
Totoyesyes,2023-11-23 16:47:52,Avec ce match contre T1 la KC aura affronté autant d'équipe coréenne sur l'année que Nisqy,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Avec ce match contre T1 la KC aura affronté autant d'équipe coréenne sur l'année que Nisqy</span></span>]"
labaguettefiora,2023-11-23 16:47:52,Ibai a encore quelque chose a avoir avec Rogue ou pas ?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Ibai a encore quelque chose a avoir avec Rogue ou pas ?</span></span>]"
SirPsyK0,2023-11-23 16:47:52,Je suis la que pour T1,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Je suis la que pour T1</span></span>]"
zao_____,2023-11-23 16:47:53,Yo,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Yo</span></span>]"
Syrmen,2023-11-23 16:47:53,Contre TH aussi non?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Contre TH aussi non?</span></span>]"
KCHeyPal,2023-11-23 16:47:53,c'est BO1 on est d'accord ?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">c'est BO1 on est d'accord ?</span></span>]"
Skaiyy,2023-11-23 16:47:54,le krame y’a uniquement 3 épisode du jdr ?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">le krame y’a uniquement 3 épisode du jdr ?</span></span>]"
